2	1768.700	1770.700
2.2	1795.300	1797.000
2.4	1828.100	1829.200
2.6	1864.200	1864.900
2.8	1900.600	1901.000
3	1935.800	1935.900
3.2	1968.500	1968.500
3.4	1997.900	1997.900
3.6	2024.100	2024.100
3.8	2047.500	2047.500
4	2068.600	2068.600
4.2	2087.600	2087.600
4.4	2104.800	2104.900
4.6	2120.500	2120.500
4.8	2134.600	2134.700
5	2147.300	2147.400
5.2	2158.400	2158.500
5.4	2167.600	2167.800
5.6	2173.800	2174.100
5.8	2167.800	2168.100
6	2147.000	2147.300
6.2	2125.800	2126.100
6.4	2104.900	2105.100
6.6	2084.400	2084.500
6.8	2064.400	2064.500
7	2045.000	2045.100
7.2	2026.100	2026.200
7.4	2007.700	2007.800
7.6	1989.900	1990.000
7.8	1972.600	1972.700
8	1955.800	1955.800
